metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion
Historical Vetting;;;;;;;;;;;;;;;
relative;yes;Final Energy;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(IEA-EB-directSum, IEA-EB-directSum_smoothed);historical;;
relative;yes;Final Energy;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(IEA-EB-directSum, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Coal;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Coal;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Oil;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Oil;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Gas;EJ/yr;;;;2010-2020;-30%;-20%;20%;30%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Primary Energy|Gas;EJ/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(BP, IEA-EB-directSum, BP_smoothed, IEA-EB-directSum_smoothed);historical;;
relative;yes;Capacity|Electricity|Nuclear;GW;;;;2010-2020;-30%;-20%;20%;30%;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Nuclear;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(Ember, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Hydro;GW;;;;2010-2020;-30%;-20%;20%;30%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Hydro;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Solar;GW;;;;2010-2020;-30%;-20%;20%;30%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Solar;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Wind|Onshore;GW;;;;2010-2020;-30%;-20%;20%;30%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Capacity|Electricity|Wind|Onshore;GW;;;World;2010-2020;-20%;-10%;10%;20%;range(IRENA, Ember, IRENA_smoothed, Ember_smoothed);historical;;
relative;yes;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;;;2010-2020;-30%;-20%;20%;30%;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CH4|Waste;Mt CH4/yr;;;;2010-2020;-30%;-20%;20%;30%;range(CEDS, CEDS_smoothed);historical;;
relative;yes;Emissions|CH4|Waste;Mt CH4/yr;;;World;2010-2020;-20%;-10%;10%;20%;range(CEDS, CEDS_smoothed);historical;;
Near-Term Trends;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;World;2025;1609;2083;3152;3896;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;World;2030;2683;4350;8164;10896;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;World;2025;930;1066;1365;1560;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;World;2030;1155;1542;2417;3029;;;;
relative to 2030;;;;;;;;;;;;;;;
